x,y
3.240707853288813389e+00,7.001656833384171996e+00
7.363156224498115243e+00,1.042353366789219393e+01
8.891377803643230493e+00,1.375070552590591433e+01
1.098186176059778241e+01,1.448863848323645698e+01
5.157936013263807240e+00,1.097473710394357660e+01
7.743891075338306784e+00,1.330342607351304096e+01
8.859542058477236637e+00,1.376540839695610075e+01
3.364596841637816027e+00,8.355940552075537653e+00
-1.262927232817390166e-01,6.193047443249196427e+00
7.218116871013825708e+00,1.177321774915978025e+01
5.457783534576461371e+00,9.937298152924922690e+00
2.798606659526622131e+00,7.306378276140273798e+00
2.595599799852697842e+00,7.274690116362112491e+00
6.609441465815844019e+00,1.268190079051029429e+01
8.084814066060395987e+00,1.304342812562509479e+01
7.107783149106900566e+00,1.317731234150781283e+01
9.069115184256830275e+00,1.389397446459634189e+01
7.958782814148179341e+00,1.194433155360686527e+01
3.233871312514570384e+00,8.017815163267950851e+00
3.351253318227461531e+00,8.711283707916971153e+00
1.982024649641276781e+00,5.459249796865121240e+00
2.762945516620352482e+00,8.095443025740998166e+00
2.665904109455178528e+00,8.217503021384713335e+00
1.699689136983544291e-01,6.447197139424694079e+00
4.044410518150904466e+00,9.206826326533693816e+00
9.652957731915980943e+00,1.386375717812432029e+01
9.263260610623992974e+00,1.118855273299993414e+01
3.476978694311827933e+00,8.872858450421265530e+00
3.453816159184960100e+00,7.364248368678833145e+00
2.265211557411012766e+00,7.945896988974006980e+00
7.901148932744052056e-01,5.730304023133281355e+00
7.874028290604009328e+00,1.354017287960216542e+01
7.096550468458930894e+00,1.396796442394321858e+01
1.015022315363304628e+01,1.480972643473117856e+01
7.719969384830411840e+00,1.259570373949268607e+01
8.563550545988720231e+00,1.346733267132706047e+01
8.078803812166890808e+00,1.266482887122382195e+01
8.328001983009832188e+00,1.349201747663037487e+01
9.935632362888489055e+00,1.417963178003835090e+01
7.807314932009958852e+00,1.045410078126564279e+01
5.402536541777612555e+00,1.078921322359738788e+01
3.399605453821972212e+00,8.103777170650273476e+00
8.453806985774809490e+00,1.325405106939563638e+01
9.235911362077262154e+00,1.305175604714327164e+01
7.952022226502510449e+00,1.367804521239284199e+01
3.501789900448577519e+00,9.350119073000243475e+00
5.720248678204006509e+00,9.788204395397841040e+00
1.001156729419759728e+01,1.492714998023554962e+01
5.874750138018594470e+00,1.019407756770309526e+01
7.586048128700991988e+00,1.252566379122892926e+01
-1.253613512503125138e+00,5.163986158932725168e+00
1.041344498035076960e+01,1.398052195396734909e+01
5.500238930311522445e+00,1.118394364914445127e+01
9.556279131915619729e+00,1.441498534562013845e+01
3.160120657609673867e+00,9.037109966277904860e+00
3.242817107971550872e+00,1.036759533987986970e+01
1.311899483332962912e+00,5.817880377646612367e+00
-2.440037448833647371e-01,6.427027052180500633e+00
8.942830474345974778e+00,1.353417895339230448e+01
4.064116884663073748e+00,9.727517093297297635e+00
1.042271809431763341e+00,6.592669327745727337e+00
7.711549934656201089e+00,1.339673935910983005e+01
3.411285714390045243e+00,8.151113753543080875e+00
9.725517503835089173e+00,1.404727030067864213e+01
4.025809562293767740e+00,8.793044449159056697e+00
9.997333472162015511e+00,1.475124990477148224e+01
7.930919606576791736e+00,1.220090055850582011e+01
1.020704165816465725e+01,1.427602544905971982e+01
5.230419603675068529e+00,8.360481013576531950e+00
4.111058645947095691e+00,9.510478105925548320e+00
1.034782682842006452e+01,1.395209695538893158e+01
4.049599379088912876e+00,9.604929104079793944e+00
3.215524057172860495e+00,6.505359624122661444e+00
-4.399587458620219937e-01,5.567334378292414954e+00
5.929809212018299913e-01,6.301390560466311186e+00
2.023837913556143064e+00,8.047869773935502735e+00
3.118774323320055331e+00,9.226461881911117047e+00
2.966679299780325962e+00,1.041014437373091539e+01
8.345739254734422019e+00,1.481337602930527630e+01
1.403423092459131993e+00,6.516463013896684586e+00
-3.243971715362063968e-01,5.492937507024752364e+00
8.423476899649269711e+00,1.236966064671058341e+01
9.282261452014569869e+00,1.293607484676165242e+01
2.461429682474457703e+00,6.971240521863856898e+00
5.095584912482365780e+00,1.093968445220262353e+01
8.231323322666607822e+00,1.370986666341627114e+01
-1.696305892357097056e+00,5.367904976030967390e+00
4.409055203616551566e+00,1.022518546385514071e+01
7.787672697014725864e-01,6.019468411204699443e+00
6.011991071023021327e+00,9.739139118403189244e+00
6.049321024614037867e+00,1.019278389208412960e+01
8.429209660401188131e+00,1.324367630478774416e+01
9.417651590531603389e+00,1.334357301062200563e+01
7.870079587076840077e+00,1.263712429900927070e+01
6.910862893380524064e+00,1.162488701604133468e+01
7.070959035307753382e+00,1.166873790463834482e+01
7.179052442696990610e+00,1.328039195161433206e+01
6.238491000352754945e+00,1.091320901159339130e+01
-6.311589071552821117e-01,5.637869463677549930e+00
6.690752859700332955e+00,1.089260959353422109e+01
4.818064798891186662e+00,1.118797324684804195e+01
3.376157283149612720e+00,8.450517462638174493e+00
6.417615684756237115e+00,9.969829862592931136e+00
5.040794574382437609e+00,9.270503144553446262e+00
6.373315392723233330e+00,1.237248644360787431e+01
7.359028536052330871e+00,1.206862564464377385e+01
9.565183415614317397e+00,1.415558508240313884e+01
8.945630765829941211e+00,1.301026228221208214e+01
3.103872095613748883e+00,6.639402527816637978e+00
6.011655794865261804e+00,1.078883322909686981e+01
1.128678519712010386e+00,6.646664558817992230e+00
7.852347495579073744e+00,1.259393523000532689e+01
1.515587962973080849e+00,6.837679048556685402e+00
1.016856305508659197e+01,1.351745084549997955e+01
4.585598756969594625e+00,9.073049101778595471e+00
6.804960705582895564e+00,1.125077383485043470e+01
1.395102416032823367e+00,7.371364505607881590e+00
6.640375096359411700e+00,1.149976927361048951e+01
7.570449531503444796e+00,1.182370361833745953e+01
5.569319404866236667e+00,1.007358670723002270e+01
7.802851779376401176e+00,1.344028195212837851e+01
7.438427366590739886e+00,1.226553445030949163e+01
5.800504394062000912e+00,1.189223178657118218e+01
3.043170900047362792e+00,1.059582094732757973e+01
6.007170519824657440e+00,1.152818070662270244e+01
